rank,city,state,estimate_population_2017,census_2018,change,land_area_miles_2016,land_area_km_2016,population_density_miles_2016,population_density_km_2016,city_link,area_codes,county,area_land,gov_mayor,area_metro,gov_type,area_water,about_city,lattitude,longitude,country
1,New York City,New York,8398748,8175133,+2.74,301.5  ,780.9 ,28317 ,10933,https://en.wikipedia.org/wiki/New_York_City,area code,nan,• land,• mayor,• metro,• type,• water, , 40.663, -73.9387,USA
2,Los Angeles,California,3990456,3792621,+5.22,468.7  ,1213.9 ,8484 ,3276,https://en.wikipedia.org/wiki/Los_Angeles,area codes,county,• land,• mayor,• metro,• type,• water, ,34.0194,-118.4108,USA
3,Chicago,Illinois,2705994,2695598,+0.39,227.3  ,588.7 ,11900 ,4600,https://en.wikipedia.org/wiki/Chicago,area codes,counties,• land,• mayor,• metro,• type,• water, , 41.837, -87.6818,USA
4,Houston,Texas,2325502,2100263,+10.72,637.5  ,1651.1 ,3613 ,1395,https://en.wikipedia.org/wiki/Houston,area codes,counties,• land,• mayor,• metro,• type,nan, , 29.786, -95.3909,USA
5,Phoenix,Arizona,1660272,1445632,+14.85,517.6  ,1340.6 ,3120 ,1200,"https://en.wikipedia.org/wiki/Phoenix,_Arizona",area codes,county,• land,• mayor,• metro,• type,• water, ,33.5722,-112.0901,USA
6,Philadelphia,Pennsylvania,1584138,1526006,+3.81,134.2  ,347.6 ,11683 ,4511,https://en.wikipedia.org/wiki/Philadelphia,area codes,county,• land,• mayor,• metro,• type,• water, , 40.009, -75.1333,USA
7,San Antonio,Texas,1532233,1327407,+15.43,461.0  ,1194.0 ,3238 ,1250,https://en.wikipedia.org/wiki/San_Antonio,area codes,counties,• land,• mayor,• metro,• type,• water, , 29.472, -98.5251,USA
8,San Diego,California,1425976,1307402,+9.07,325.2  ,842.3 ,4325 ,1670,https://en.wikipedia.org/wiki/San_Diego,area codes,county,• land,• mayor,• metro,• type,• water, ,32.8153,-117.1350,USA
9,Dallas,Texas,1345047,1197816,+12.29,340.9  ,882.9 ,3866 ,1493,https://en.wikipedia.org/wiki/Dallas,area codes,counties,• land,• mayor,• metro,• type,• water, , 32.793, -96.7665,USA
10,San Jose,California,1030119,945942,+8.90,177.5  ,459.7 ,5777 ,2231,"https://en.wikipedia.org/wiki/San_Jose,_California",area code,county,• land,• mayor,• metro,• type,• water, ,37.2967,-121.8189,USA
11,Austin,Texas,964254,790390,+22.00,312.7  ,809.9 ,3031 ,1170,"https://en.wikipedia.org/wiki/Austin,_Texas",area codes,counties,• land,• mayor,• metro,• type,• water, , 30.303, -97.7544,USA
12,Jacksonville,Florida,903889,821784,+9.99,747.4  ,1935.8 ,1178 ,455,"https://en.wikipedia.org/wiki/Jacksonville,_Florida",area code,county,• land,• mayor,• metro,• type,• water, , 30.336, -81.6616,USA
13,Fort Worth,Texas,895008,741206,+20.75,342.9  ,888.1 ,2491 ,962,"https://en.wikipedia.org/wiki/Fort_Worth,_Texas",area codes,counties,• land,• mayor,• metro,• type,• water, , 32.781, -97.3467,USA
14,Columbus,Ohio,892533,787033,+13.40,218.5  ,565.9 ,3936 ,1520,"https://en.wikipedia.org/wiki/Columbus,_Ohio",area codes,counties,• land,• mayor,• metro,nan,• water, , 39.985, -82.9848,USA
15,San Francisco,California,883305,805235,+9.70,46.9  ,121.5 ,18569 ,7170,https://en.wikipedia.org/wiki/San_Francisco,area codes,nan,• land,• mayor,• metro,• type,• water, ,37.7272,-123.0322,USA
16,Charlotte,North Carolina,872498,731424,+19.29,305.4  ,791.0 ,2757 ,1064,"https://en.wikipedia.org/wiki/Charlotte,_North_Carolina",area codes,county,nan,• mayor,• metro,• type,nan, , 35.207, -80.8310,USA
17,Indianapolis,Indiana,867125,820445,+5.69,361.5  ,936.3 ,2366 ,914,https://en.wikipedia.org/wiki/Indianapolis,area code,county,• land,• mayor,• metro,• type,• water, , 39.776, -86.1459,USA
18,Seattle,Washington,744955,608660,+22.39,83.8  ,217.0 ,8405 ,3245,https://en.wikipedia.org/wiki/Seattle,area code,county,• land,• mayor,• metro,• type,• water, ,47.6205,-122.3509,USA
19,Denver,Colorado,716492,600158,+19.38,153.3  ,397.0 ,4521 ,1746,https://en.wikipedia.org/wiki/Denver,area code,nan,• land,• mayor,• metro,• type,• water, ,39.7619,-104.8811,USA
20,"Washington, D.C.",District of Columbia,702455,601723,+16.74,61.1  ,158.2 ,11148 ,4304,"https://en.wikipedia.org/wiki/Washington,_D.C.",area code,nan,• land,• mayor,• metro,nan,• water, , 38.904, -77.0172,USA
21,Boston,Massachusetts,694583,617594,+12.47,48.3  ,125.1 ,13938 ,5381,https://en.wikipedia.org/wiki/Boston,area codes,county,• land,• mayor,• metro,• type,• water, , 42.332, -71.0202,USA
22,El Paso,Texas,682669,649121,+5.17,256.8  ,665.1 ,2660 ,1030,"https://en.wikipedia.org/wiki/El_Paso,_Texas",area codes,county,• land,nan,• metro,• type,• water, ,31.8484,-106.4270,USA
23,Detroit,Michigan,672662,713777,−5.76,138.8  ,359.5 ,4847 ,1871,https://en.wikipedia.org/wiki/Detroit,area code,county,• land,• mayor,• metro,• type,• water, , 42.383, -83.1022,USA
24,Nashville,Tennessee,669053,601222,+11.28,475.9  ,1232.6 ,1388 ,536,"https://en.wikipedia.org/wiki/Nashville,_Tennessee",area code,county,• land,• mayor,• metro,nan,• water, , 36.171, -86.7850,USA
25,Portland,Oregon,653115,583776,+11.88,133.5  ,345.8 ,4793 ,1851,"https://en.wikipedia.org/wiki/Portland,_Oregon",area codes,counties,• land,• mayor,• metro,• type,• water, ,45.5370,-122.6500,USA
26,Memphis,Tennessee,650618,646889,+0.58,317.4  ,822.1 ,2056 ,794,"https://en.wikipedia.org/wiki/Memphis,_Tennessee",area code,county,• land,• mayor,• metro,nan,• water, , 35.102, -89.9774,USA
27,Oklahoma City,Oklahoma,649021,579999,+11.90,606.3  ,1570.3 ,1053 ,407,https://en.wikipedia.org/wiki/Oklahoma_City,area code,counties,• land,• mayor,• metro,• type,• water, , 35.467, -97.5137,USA
28,Las Vegas,Nevada,644644,583756,+10.43,134.4  ,348.1 ,4709 ,1818,https://en.wikipedia.org/wiki/Las_Vegas,nan,county,• land,• mayor,• metro,• type,• water, ,36.2292,-115.2601,USA
29,Louisville,Kentucky,620118,597337,+3.81,263.5  ,682.5 ,2339 ,903,"https://en.wikipedia.org/wiki/Louisville,_Kentucky",area code,county,• land,• mayor,• metro,• type,• water, , 38.165, -85.6474,USA
